id,name,country,antecedent_aerosol_aod,antecedent_aerosol_state,antecedent_moisture_kgm2,antecedent_moisture_state,antecedent_no2_molec_cm2,ifs_fog_prob,fog_prob_24h,fog_prob_48h,fog_prob_72h,spatial_coverage,stagnation_trend,stagnation_slope_ms,extreme_fog_tail_p95,ens_max_fog_index_peak,target_date,aer_p1,aer_p2,aer_p3,mois_p1,mois_p2,mois_p3,fog_p1,fog_p2,fog_p3,fog_p4,fog_p5,stag_p1,stag_p2,stag_p3,tail_p1,tail_p2,tail_p3,tail_p4
673,MORBI,GUJARAT,,Moderate,,Moderate,,0.0979,0.0,0.0979,0.0056,0.0,Stable,-0.474,0.6076,0.6156,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9794,0.0206,0.0,0.0,0.0,0.4661,0.5333,0.0006,0.0157,0.9821,0.0022,0.0
487,NARMADA,GUJARAT,,Moderate,,Moderate,,0.0049,0.0049,0.0,0.0,0.0,Stable,0.256,0.5061,0.5424,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0058,0.7858,0.2084,0.4513,0.5487,0.0,0.0
490,NAVSARI,GUJARAT,,Moderate,,Moderate,,0.0049,0.0,0.0,0.0,0.0,Stable,-0.42,0.4872,0.5094,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.3955,0.6035,0.0011,0.6009,0.3991,0.0,0.0
484,PANCH MAHALS,GUJARAT,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stagnating,-0.525,0.4549,0.4764,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.533,0.4667,0.0003,0.8167,0.1833,0.0,0.0
470,PATAN,GUJARAT,,Moderate,,Moderate,,0.0336,0.0,0.0028,0.0336,0.0,Stagnating,-0.593,0.5675,0.5752,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9996,0.0004,0.0,0.0,0.0,0.6215,0.3784,0.0001,0.0884,0.9114,0.0001,0.0
478,PORBANDAR,GUJARAT,,Moderate,,Moderate,,0.0079,0.0,0.0,0.0079,0.0,Improving,0.648,0.5348,0.5738,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9999,0.0001,0.0,0.0,0.0,0.0001,0.3111,0.6888,0.2432,0.7568,0.0,0.0
476,RAJKOT,GUJARAT,,Moderate,,Moderate,,0.0098,0.0,0.0098,0.002,0.0,Stable,-0.403,0.5169,0.5203,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9999,0.0001,0.0,0.0,0.0,0.3727,0.626,0.0013,0.3676,0.6324,0.0,0.0
472,SABAR KANTHA,GUJARAT,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.188,0.3854,0.416,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.1494,0.8398,0.0109,0.989,0.011,0.0,0.0
492,SURAT,GUJARAT,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stagnating,-0.531,0.4202,0.4225,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.5411,0.4586,0.0003,0.9448,0.0552,0.0,0.0
475,SURENDRANAGAR,GUJARAT,,Moderate,,Moderate,,0.0303,0.0071,0.0036,0.0231,0.0,Stable,-0.302,0.5763,0.584,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9997,0.0003,0.0,0.0,0.0,0.2551,0.7412,0.0037,0.0636,0.9362,0.0003,0.0
493,TAPI,GUJARAT,,Moderate,,Moderate,,0.0033,0.0033,0.0,0.0033,0.0,Stable,0.407,0.4886,0.513,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0013,0.6206,0.3781,0.5903,0.4097,0.0,0.0
486,VADODARA,GUJARAT,,Moderate,,Moderate,,0.0491,0.0098,0.0,0.0425,0.0,Stable,-0.455,0.5686,0.5823,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9987,0.0013,0.0,0.0,0.0,0.4406,0.5587,0.0007,0.0852,0.9147,0.0001,0.0
491,VALSAD,GUJARAT,,Moderate,,Moderate,,0.0196,0.0196,0.0,0.0,0.0,Stagnating,-0.586,0.5585,0.5907,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9998,0.0002,0.0,0.0,0.0,0.6131,0.3867,0.0001,0.1211,0.8788,0.0001,0.0
70,AMBALA,HARYANA,,Moderate,,Moderate,,0.3725,0.1471,0.0588,0.3333,0.0,Stagnating,-0.963,0.6288,0.6291,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0003,0.7082,0.2915,0.0,0.0,0.9388,0.0612,0.0,0.005,0.9873,0.0077,0.0
81,BHIWANI,HARYANA,,Moderate,,Moderate,,0.4783,0.4783,0.1332,0.2194,0.7995,Stagnating,-1.198,0.6337,0.6362,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0588,0.9338,0.0075,0.0,0.99,0.01,0.0,0.0037,0.9862,0.01,0.0
081N001,CHARKI DADRI,HARYANA,,Moderate,,Moderate,,0.2745,0.2745,0.0196,0.049,0.0,Stagnating,-1.255,0.5889,0.5898,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0681,0.9259,0.006,0.0,0.0,0.9941,0.0059,0.0,0.0377,0.9616,0.0006,0.0
88,FARIDABAD,HARYANA,,Moderate,,Moderate,,0.098,0.098,0.0588,0.0196,0.0,Stable,-0.391,0.5485,0.5485,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9793,0.0207,0.0,0.0,0.0,0.3581,0.6404,0.0015,0.166,0.834,0.0,0.0
78,FATEHABAD,HARYANA,,Moderate,,Moderate,,0.7941,0.5638,0.2647,0.7941,1.0,Stagnating,-1.158,0.635,0.6352,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0001,0.5472,0.4528,0.9859,0.0141,0.0,0.0035,0.9858,0.0107,0.0
86,GURUGRAM,HARYANA,,Moderate,,Moderate,,0.4117,0.4117,0.2351,0.2939,0.0,Stagnating,-1.16,0.6239,0.626,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.4075,0.5924,0.0001,0.0,0.9861,0.0139,0.0,0.0066,0.9876,0.0058,0.0
80,HISAR,HARYANA,,Moderate,,Moderate,,0.5784,0.549,0.2991,0.495,0.7502,Stagnating,-1.105,0.6349,0.6352,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0002,0.6667,0.3331,0.0,0.9781,0.0219,0.0,0.0035,0.9858,0.0107,0.0
83,JHAJJAR,HARYANA,,Moderate,,Moderate,,0.2875,0.2026,0.0914,0.2809,0.0,Stagnating,-1.293,0.6365,0.6368,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0401,0.9477,0.0122,0.0,0.0,0.9959,0.0041,0.0,0.0032,0.9852,0.0116,0.0
77,JIND,HARYANA,,Moderate,,Moderate,,0.6666,0.3177,0.2274,0.6666,1.0,Stagnating,-1.182,0.6369,0.6375,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0913,0.9049,0.0038,0.9885,0.0115,0.0,0.0031,0.9851,0.0118,0.0
73,KAITHAL,HARYANA,,Moderate,,Moderate,,0.6014,0.1504,0.1308,0.6014,0.6672,Stagnating,-1.342,0.6354,0.6356,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.4888,0.5111,0.0,0.9975,0.0025,0.0,0.0034,0.9856,0.011,0.0
74,KARNAL,HARYANA,,Moderate,,Moderate,,0.3972,0.1324,0.0736,0.3775,0.0,Stagnating,-0.863,0.6324,0.6325,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.5227,0.4772,0.0,0.0,0.8867,0.1133,0.0,0.0041,0.9866,0.0093,0.0
72,KURUKSHETRA,HARYANA,,Moderate,,Moderate,,0.3856,0.0719,0.0196,0.3856,0.0,Stagnating,-1.106,0.6325,0.6328,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0001,0.6131,0.3868,0.0,0.0,0.9783,0.0217,0.0,0.004,0.9866,0.0094,0.0
84,MAHENDRAGARH,HARYANA,,Moderate,,Moderate,,0.0196,0.0098,0.0,0.0098,0.0,Stagnating,-0.541,0.5173,0.5187,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9998,0.0002,0.0,0.0,0.0,0.555,0.4448,0.0003,0.3648,0.6352,0.0,0.0
87,NUH,HARYANA,,Moderate,,Moderate,,0.072,0.0,0.0262,0.072,0.0,Stagnating,-0.809,0.5641,0.5646,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9948,0.0052,0.0,0.0,0.0,0.8483,0.1517,0.0,0.1,0.8999,0.0001,0.0
89,PALWAL,HARYANA,,Moderate,,Moderate,,0.1569,0.0883,0.1471,0.0932,0.0,Stagnating,-0.502,0.5857,0.5862,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.8057,0.1943,0.0,0.0,0.0,0.503,0.4966,0.0004,0.0433,0.9562,0.0005,0.0
69,PANCHKULA,HARYANA,,Moderate,,Moderate,,0.4221,0.1865,0.0,0.0,0.5006,Stagnating,-0.605,0.612,0.6265,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.3291,0.6707,0.0002,0.0,0.6365,0.3634,0.0001,0.0125,0.9846,0.0029,0.0
75,PANIPAT,HARYANA,,Moderate,,Moderate,,0.4314,0.2353,0.1569,0.4314,0.0,Stagnating,-0.695,0.6161,0.6161,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.2652,0.7344,0.0004,0.0,0.7422,0.2578,0.0,0.0101,0.9862,0.0037,0.0
85,REWARI,HARYANA,,Moderate,,Moderate,,0.0392,0.0,0.0196,0.0196,0.0,Stagnating,-1.171,0.5345,0.5345,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9993,0.0007,0.0,0.0,0.0,0.9874,0.0126,0.0,0.2448,0.7551,0.0,0.0
82,ROHTAK,HARYANA,,Moderate,,Moderate,,0.3986,0.3463,0.1242,0.3593,0.0,Stagnating,-1.206,0.6318,0.6326,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.5112,0.4887,0.0,0.0,0.9907,0.0093,0.0,0.0042,0.9868,0.009,0.0
79,SIRSA,HARYANA,,Moderate,,Moderate,,0.7875,0.7875,0.3758,0.3693,1.0,Stagnating,-0.541,0.6321,0.6336,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.0001,0.5986,0.4013,0.5549,0.4449,0.0003,0.0041,0.9867,0.0092,0.0
76,SONIPAT,HARYANA,,Moderate,,Moderate,,0.4052,0.2287,0.1961,0.4052,0.0,Stagnating,-0.878,0.6288,0.629,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.4584,0.5416,0.0,0.0,0.8965,0.1035,0.0,0.005,0.9873,0.0077,0.0
71,YAMUNANAGAR,HARYANA,,Moderate,,Moderate,,0.6402,0.5551,0.3788,0.157,0.6661,Stable,-0.016,0.6268,0.6268,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.2104,0.7889,0.0007,0.0532,0.904,0.0429,0.0056,0.9875,0.0069,0.0
30,BIL>SPUR,HIMACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,0.043,0.167,0.1732,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0352,0.9011,0.0637,1.0,0.0,0.0,0.0
33,SHIMLA,HIMACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.06,0.0495,0.0536,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0714,0.8977,0.0309,1.0,0.0,0.0,0.0
34,KINNAUR,HIMACHAL PRADESH,,Moderate,,Moderate,,0.002,0.0,0.0,0.0,0.0,Stable,0.105,0.4022,0.5388,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0218,0.8841,0.0941,0.9748,0.0252,0.0,0.0
31,SOLAN,HIMACHAL PRADESH,,Moderate,,Moderate,,0.0196,0.0,0.0,0.0,0.0,Stable,-0.271,0.5191,0.5739,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9998,0.0002,0.0,0.0,0.0,0.2226,0.7723,0.0051,0.351,0.649,0.0,0.0
32,SIRMAUR,HIMACHAL PRADESH,,Moderate,,Moderate,,0.1767,0.0,0.0,0.0,0.2002,Stable,-0.158,0.601,0.6104,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.6797,0.3203,0.0,0.0,0.0,0.1273,0.8586,0.0141,0.0217,0.9769,0.0014,0.0
26,KULLU,HIMACHAL PRADESH,,Moderate,,Moderate,,0.0044,0.0044,0.0,0.0,0.0,Stable,-0.078,0.4672,0.5103,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0798,0.8932,0.027,0.7443,0.2557,0.0,0.0
23,CHAMBA,HIMACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,0.04,0.3685,0.4005,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.036,0.9015,0.0625,0.9957,0.0043,0.0,0.0
27,MANDI,HIMACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.031,0.0236,0.0281,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0592,0.9026,0.0382,1.0,0.0,0.0,0.0
24,K>NGRA,HIMACHAL PRADESH,,Moderate,,Moderate,,0.2627,0.2333,0.0147,0.0,0.2506,Stable,0.007,0.6324,0.6347,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.1049,0.8921,0.003,0.0,0.0,0.0456,0.9043,0.05,0.0041,0.9866,0.0093,0.0
28,HAM|RPUR,HIMACHAL PRADESH,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.47,0.4619,0.4789,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.4603,0.5391,0.0006,0.7772,0.2228,0.0,0.0
29,UNA,HIMACHAL PRADESH,,Moderate,,Moderate,,0.1668,0.0884,0.0,0.0,0.0,Stagnating,-0.86,0.5747,0.5754,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.7464,0.2536,0.0,0.0,0.0,0.885,0.115,0.0,0.0676,0.9321,0.0002,0.0
25,LAHUL & SPITI,HIMACHAL PRADESH,,Moderate,,Moderate,,0.0774,0.0774,0.0,0.0,0.1052,Stable,0.113,0.6014,0.6305,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9929,0.0071,0.0,0.0,0.0,0.0205,0.8809,0.0987,0.0213,0.9772,0.0015,0.0
NOT AVAILABLE,MIRPUR,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.349,0.336,0.3523,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.3079,0.6898,0.0023,0.9995,0.0005,0.0,0.0
NOT AVAILABLE,MUZAFFARABAD,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,0.199,0.4791,0.4945,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0099,0.832,0.1581,0.6619,0.3381,0.0,0.0
10,PUNCH,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.122,0.4035,0.4187,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.104,0.877,0.019,0.9731,0.0269,0.0,0.0
1,ANANTNAG,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Improving,0.921,0.3517,0.3758,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.92,0.9985,0.0015,0.0,0.0
3,BARAMULA,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0065,0.0065,0.0,0.0,0.0,Stable,-0.132,0.5165,0.5331,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9999,0.0001,0.0,0.0,0.0,0.1097,0.8727,0.0176,0.3705,0.6295,0.0,0.0
7,KATHUA,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0039,0.0,0.0,0.0,0.0,Stable,0.411,0.5156,0.5263,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0012,0.616,0.3828,0.3778,0.6222,0.0,0.0
14,UDHAMPUR,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.332,0.3425,0.3585,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.2877,0.7095,0.0028,0.9992,0.0008,0.0,0.0
2,BADGAM,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,0.165,0.4263,0.4277,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0133,0.8547,0.1319,0.9297,0.0703,0.0,0.0
623,BANDIPURA,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Improving,0.587,0.2695,0.2719,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0001,0.3852,0.6146,1.0,0.0,0.0,0.0
626,GANDERBAL,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.05,0.2187,0.2223,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0666,0.8999,0.0335,1.0,0.0,0.0,0.0
622,KULGAM,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Improving,0.849,0.2115,0.2115,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0,0.1222,0.8778,1.0,0.0,0.0,0.0
8,KUPWARA,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.064,0.4733,0.4772,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0731,0.8969,0.0301,0.7035,0.2965,0.0,0.0
11,PULWAMA,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Improving,0.559,0.0464,0.0464,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0002,0.4217,0.5781,1.0,0.0,0.0,0.0
12,RAJAURI,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,0.152,0.4175,0.442,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0148,0.8619,0.1233,0.9505,0.0495,0.0,0.0
621,RAMBAN,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,-0.081,0.0601,0.062,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0812,0.8924,0.0264,1.0,0.0,0.0,0.0
627,RIASI,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Improving,0.617,0.252,0.2625,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0001,0.3486,0.6513,1.0,0.0,0.0,0.0
625,SHUPIYAN,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0392,0.0392,0.0196,0.0,0.0,Stable,0.316,0.5437,0.5669,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9993,0.0007,0.0,0.0,0.0,0.0033,0.7274,0.2693,0.1911,0.8089,0.0,0.0
13,SRINAGAR,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stagnating,-0.726,0.4138,0.4138,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.7741,0.2258,0.0,0.9577,0.0423,0.0,0.0
620,KISHTWAR,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Stable,0.23,0.4391,0.4397,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0075,0.8084,0.1842,0.8885,0.1115,0.0,0.0
04,DODA,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.0,0.0,0.0,0.0,0.0,Improving,0.598,0.1928,0.2091,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0,0.0,0.0,0.0,0.0,0.0001,0.3718,0.628,1.0,0.0,0.0,0.0
624,SAMBA,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.2549,0.2157,0.0392,0.0,0.0,Stagnating,-0.648,0.6022,0.6022,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.1361,0.8621,0.0019,0.0,0.0,0.6892,0.3107,0.0001,0.0205,0.978,0.0016,0.0
5,JAMMU,JAMMU AND KASHMIR,,Moderate,,Moderate,,0.1534,0.1338,0.0,0.0,0.2007,Stable,0.097,0.6182,0.629,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.8244,0.1756,0.0,0.0,0.0,0.0233,0.8871,0.0896,0.009,0.9868,0.0042,0.0
,,Unknown,,Moderate,,Moderate,,0.3333,0.0,0.0,0.3333,0.0,Stagnating,-1.244,0.5689,0.5689,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0038,0.905,0.0912,0.0,0.0,0.9935,0.0065,0.0,0.084,0.9158,0.0001,0.0
346,GARHWA,JHARKHAND,,Moderate,,Moderate,,0.3775,0.3271,0.2711,0.2601,0.2849,Stable,-0.242,0.629,0.6295,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0002,0.6732,0.3266,0.0,0.0,0.195,0.7983,0.0067,0.0049,0.9873,0.0078,0.0
347,CHATRA,JHARKHAND,,Moderate,,Moderate,,0.1242,0.0392,0.0458,0.1144,0.0,Stagnating,-0.639,0.5802,0.5818,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9353,0.0647,0.0,0.0,0.0,0.6782,0.3217,0.0001,0.0545,0.9452,0.0003,0.0
348,KODERMA,JHARKHAND,,Moderate,,Moderate,,0.1111,0.0,0.0326,0.1111,0.0,Stagnating,-1.22,0.5713,0.5717,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9623,0.0377,0.0,0.0,0.0,0.9918,0.0082,0.0,0.0769,0.923,0.0002,0.0
349,GIRIDIH,JHARKHAND,,Moderate,,Moderate,,0.2278,0.0,0.0392,0.2278,0.1246,Stagnating,-1.475,0.6061,0.6092,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.2889,0.7108,0.0003,0.0,0.0,0.9994,0.0006,0.0,0.0169,0.9811,0.002,0.0
350,DEOGHAR,JHARKHAND,,Moderate,,Moderate,,0.1439,0.0,0.0,0.1439,0.0,Stagnating,-1.355,0.559,0.5655,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.8691,0.1309,0.0,0.0,0.0,0.9978,0.0022,0.0,0.1189,0.881,0.0001,0.0
351,GODDA,JHARKHAND,,Moderate,,Moderate,,0.7548,0.2155,0.5195,0.7548,1.0,Stagnating,-1.098,0.634,0.6344,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0,0.001,0.8162,0.1829,0.977,0.023,0.0,0.0037,0.9861,0.0102,0.0
352,SAHIBGANJ,JHARKHAND,,Moderate,,Moderate,,0.5293,0.0,0.1127,0.5293,0.5,Stagnating,-1.185,0.6131,0.6137,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.0048,0.9164,0.0788,0.0,0.9888,0.0112,0.0,0.0118,0.9851,0.0031,0.0
353,PAKUR,JHARKHAND,,Moderate,,Moderate,,0.4313,0.0785,0.1046,0.4313,0.3331,Stagnating,-1.065,0.5898,0.5908,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.2656,0.734,0.0004,0.0,0.9702,0.0298,0.0,0.0362,0.9631,0.0007,0.0
354,DHANBAD,JHARKHAND,,Moderate,,Moderate,,0.3725,0.085,0.0392,0.3725,0.3333,Stagnating,-0.833,0.594,0.5957,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0003,0.7082,0.2915,0.0,0.0,0.8668,0.1332,0.0,0.0301,0.969,0.0009,0.0
355,BOKARO,JHARKHAND,,Moderate,,Moderate,,0.436,0.049,0.1274,0.4213,0.4995,Stagnating,-0.776,0.5993,0.6046,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0,0.2355,0.764,0.0005,0.0,0.8211,0.1789,0.0,0.0235,0.9752,0.0013,0.0
356,LOHARDAGA,JHARKHAND,,Moderate,,Moderate,,0.0392,0.0392,0.0,0.0196,0.0,Stagnating,-0.547,0.5608,0.5682,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9993,0.0007,0.0,0.0,0.0,0.5628,0.437,0.0002,0.1122,0.8878,0.0001,0.0
357,EAST SINGHBHUM,JHARKHAND,,Moderate,,Moderate,,0.0823,0.0431,0.0274,0.0548,0.0,Stable,-0.433,0.5941,0.6069,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.9907,0.0093,0.0,0.0,0.0,0.4119,0.5871,0.0009,0.0299,0.9692,0.0009,0.0
358,PALAMU,JHARKHAND,,Moderate,,Moderate,,0.3585,0.2465,0.2548,0.3305,0.4287,Stable,-0.369,0.61,0.6165,2025-01-01,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.0008,0.796,0.2032,0.0,0.0,0.3313,0.6668,0.0019,0.0139,0.9836,0.0026,0.0
